tweet_id,tweet_text
1916690804510179685,RT @techjunkiejh: Tesla Cybertruck Review // We Drove It Over 500 Miles...And Oh Boy https://t.co/K7UtQ2pe83  #TechReview #TechJunkieNews #â€¦
1916690391895888120,RT @Hotmomofive: #foryou #tesla https://t.co/EK95KvK0E8 via @YouTube go subscribe please
1916688927089647985,"RT @Just_Grok_Bsc: Gm Fam

""There is so much potential with X to be the most trusted &amp; broadly inclusive forum in the world!""

â€” Elon Muskâ€¦"
1916687701387997669,"RT @Just_Grok_Bsc: Gm Fam

""There is so much potential with X to be the most trusted &amp; broadly inclusive forum in the world!""

â€” Elon Muskâ€¦"
1916687553438118315,"Tesla Inc., led by Elon Musk, has taken a significant step towards strengthening its presence in India by leasing office space

#Tesla #ElonMusk #India 

https://t.co/TmrMSMfUUC"
1916686881330270620,RT @adamzyglis: The CyberTankâ€¦ #tesla https://t.co/w8sQcSbA34
1916686445843988499,"#WATCH | #BYD is outpacing #Tesla across revenue, profits, and deliveries. While Tesla reports a 70% profit plunge and shrinking sales, BYD continues to post record highs. Meanwhile, tariff concerns mount for the American EV giant. 

#Tesla #BYD #EV #AutoNews @SrishtiSharma_ https://t.co/YT7V5ZO4T7"
1916686017752350836,"@elonmusk My new character Â© Tesla Texas Girl Elon Musk's Video editor and Promo GirlğŸ˜ğŸ“¹ğŸ’»ğŸ“¸  #Cybertruckin @Tesla @cybertruck

#HeatherOliviaShannonMedia #ElonMusk #Tesla #Tech #Fashion #Style #DesignerFashion #Aesthetic #IoT #VideoEditor #Hollywood  #FortWorthTexas #Cybertruck https://t.co/yYF3lwFKfG"
1916685556081213692,"RT @Nigel__DSouza: ğŸ‡ºğŸ‡¸ Markets on Friday
#DowJones +0.05%
#Nasdaq +1.26%
S&amp;P500 +0.74%

Tech Names ğŸš€
#Alphabet +1.5%, after the Google parenâ€¦"
1916685204623708572,"RT @ArnaMarketing: We're excited to share the official debut of the $BTC Rewards Event to the entire #Tesla community! 

These rewards areâ€¦"
1916685190593667155,Trumpâ€™s Climate Policy Decisions: Fruit Of The Poisonous Tree https://t.co/ukVYsnZTYd #Tesla #EV #ClimateChange #Renewables #RenewableEnergy
1916683943035744546,How I Took My Travel Trailer All-Electric (So Far) https://t.co/4FsndVSOC5 #Tesla #EV #ClimateChange #Renewables #RenewableEnergy
1916683552709652533,"@MJ8675309E9 @brianlilley Desperate and sad, since #NaziElon did it twice live at RNC, is actively harming thousands of Americans &amp; tanking both US economy &amp; #Tesla while you pathetically look through 100s of hrs of footage to lie to yrself publicly on Nazi-riddled XTwitter.

#MAGAts"
1916683241693565427,"ğŸ‡ºğŸ‡¸ Markets on Friday
#DowJones +0.05%
#Nasdaq +1.26%
S&amp;P500 +0.74%

Tech Names ğŸš€
#Alphabet +1.5%, after the Google parent reported a beat on their earning expectations
#Tesla +9.8%
#NVIDIA +4.3%
Meta Platforms +2.7%

Other Asset Classes
ğŸ‡ºğŸ‡¸ 10-year Treasury yield at 4.25%"
1916683199532384424,RT @80tru: â€¼ï¸NOT FINANCIAL ADVICE âŒ Find more here https://t.co/SK0HnMjnMp #truthetrader #elcarotrade #trading #bitcoin #crypto #btc #eth #â€¦
1916683084717760980,"ğŸ‡ºğŸ‡¸ Markets on Friday
#DowJones +0.05%
#Nasdaq +1.26%
S&amp;P500 +0.74%

Tech Names ğŸš€
#Alphabet +1.5%, after the Google parent reported a beat on their earning expectations
#Tesla +9.8%
#NVIDIA +4.3%
Meta Platforms +2.7%

Other Asset Classes
ğŸ‡ºğŸ‡¸ 10-year Treasury yield at 4.25%"
1916683065117593883,â€¼ï¸NOT FINANCIAL ADVICE âŒ Find more here https://t.co/SK0HnMjnMp #truthetrader #elcarotrade #trading #bitcoin #crypto #btc #eth #sol #pepe #doge #stockmarket #marketcrash #xrp #fyp #viral #trump #tsla #elonmusk #tesla #usa #market #long #short https://t.co/ToxF1dM9py
1916682121248137409,â€¼ï¸NOT FINANCIAL ADVICE âŒ Find more here https://t.co/SK0HnMjnMp #truthetrader #elcarotrade #trading #bitcoin #crypto #btc #eth #sol #pepe #doge #stockmarket #marketcrash #xrp #fyp #viral #trump #tsla #elonmusk #tesla #usa #market #long #short https://t.co/2S5B8D3cu3
1916681708436443339,"RT @DriveGreen80167: Cybertruck in China flipped over in the desertâ€¦ â€‹â€‹â€‹ğŸ‘€ğŸ«£ğŸ˜±
#Tesla #Cybertruck $tsla @ray4tesla https://t.co/mTO8ndQJDD"
1916681176275681388,"RT @LiubaBud: â¤ï¸â¤ï¸â¤ï¸â¤ï¸ğŸ¤©ğŸ¤©ğŸ¤©
Maye Musk is an incredibly wise woman, and it's wonderful that she shares her experience with others

#USA #Russiâ€¦"
